digitised_reversed,end_inv_match,end_inv_sw,end_inv_wv,flow_match,flowdir_sw,flowdir_wv,geom_match,geom_offset_m,grade_sw,grade_wv,id,internal_match,internal_sw,internal_wv,matched,material_sw,material_wv,nominal_match,nominal_sw,nominal_wv,start_inv_match,start_inv_sw,start_inv_wv,statewide_records
False,True,50.352,50.352,True,1,1,False,3.649,0.62,0.62,4432940,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,50.634,50.634,1
True,True,53.795,53.795,False,1,1,False,1.291,0.71,0.71,4433311,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,53.832,53.832,1
,,,,,,,,,,,4433240,,,,False,,,,,,,,,0
False,True,50.167,50.167,True,2,2,False,2.495,0.83,0.83,4432897,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,50.72,50.72,1
,,,,,,,,,,,4433467,,,,False,,,,,,,,,0
False,True,51.357,51.357,True,2,2,False,11.726,0.4,0.4,4433190,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,51.59,51.59,1
False,True,39.49,39.49,True,1,1,False,1.406,1.67,1.67,4404826,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,40.244,40.244,1
False,True,50.641,50.641,True,2,2,False,1.042,0.5,0.5,4433222,,,0.0,True,UNKN,UNKN,True,225.0,225.0,True,50.732,50.732,1
False,True,26.96,26.96,True,2,2,False,11.326,2.6,2.6,1495235,True,400.0,400.0,True,VC,VC,True,400.0,400.0,True,28.15,28.15,1
False,True,53.802,53.802,True,2,2,False,14.641,3.03,3.03,4405133,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,56.974,56.974,1
True,True,29.151,29.151,False,2,2,False,41.003,0.26,0.26,1495295,True,450.0,450.0,True,VC,VC,True,450.0,450.0,True,29.593,29.593,1
False,True,50.808,50.808,True,1,1,False,7.44,1.0,1.0,4433224,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,51.106,51.106,1
False,True,51.621,51.621,True,2,2,False,1.606,1.0,1.0,4433271,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,51.689,51.689,1
False,True,40.448,40.448,True,2,2,False,15.078,0.5,0.5,4405091,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,40.718,40.718,1
True,True,50.022,50.022,False,1,1,False,1.987,0.62,0.62,4432948,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,50.069,50.069,1
False,True,39.475,39.475,True,1,1,False,1.767,0.83,0.83,4433758,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,39.87,39.87,1
True,True,53.535,53.535,False,2,2,False,9.986,0.65,0.65,4405132,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,53.802,53.802,1
False,True,51.5,51.5,True,2,2,False,14.849,0.83,0.83,4433247,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,51.891,51.891,1
False,True,49.979,49.979,True,2,2,False,3.174,0.5,0.5,4432945,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,50.107,50.107,1
False,True,58.178,58.178,True,2,2,False,7.88,1.0,1.0,4405180,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,58.877,58.877,1
True,True,42.694,42.694,False,1,1,False,24.962,0.67,0.67,4433775,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,43.277,43.277,1
False,True,50.263,50.263,True,2,2,False,2.463,2.08,2.08,4405110,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,52.363,52.363,1
False,True,43.6,43.6,True,2,2,False,16.55,2.17,2.17,4405087,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,44.712,44.712,1
False,True,38.616,38.616,True,2,2,False,1.817,2.63,2.63,4433178,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,39.43,39.43,1
False,True,49.967,49.967,True,2,2,False,12.575,0.8,0.8,4432946,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,50.318,50.318,1
False,True,47.086,47.086,True,1,1,False,28.513,0.42,0.42,1675059,,,0.0,True,UNKN,UNKN,True,225.0,225.0,True,47.443,47.443,1
False,True,55.77,55.77,True,2,2,False,2.953,0.4,0.4,4404917,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,55.82,55.82,1
False,True,39.927,39.927,True,1,1,False,2.385,4.0,4.0,4433554,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,42.1,42.1,1
False,True,42.161,42.161,True,2,2,False,5.765,0.83,0.83,4405067,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,42.362,42.362,1
False,True,56.974,56.974,True,2,2,False,8.983,1.25,1.25,4405153,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,57.659,57.659,1
False,True,43.944,43.944,True,2,2,False,2.39,0.67,0.67,4404817,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,44.36,44.36,1
,,,,,,,,,,,4433468,,,,False,,,,,,,,,0
False,True,50.9,50.9,True,2,2,False,6.727,1.0,1.0,4404814,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,51.509,51.509,1
True,True,51.619,51.619,False,1,1,False,4.41,0.83,0.83,4404812,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,51.762,51.762,1
True,True,51.38,51.38,False,1,1,True,0.867,1.0,1.0,4433284,,,0.0,True,UNKN,UNKN,True,150.0,150.0,True,51.415,51.415,1
False,True,52.765,52.765,True,2,2,False,1.072,0.5,0.5,4404772,True,150.0,150.0,True,VC,VC,True,150.0,150.0,True,52.783,52.783,1
False,True,43.317,43.317,True,1,1,False,1.184,0.8,0.8,8710949,True,143.0,143.0,True,PVCU,PVCU,True,150.0,150.0,True,43.341,43.341,1
